Epoch,Temperature,Overall_Accuracy,Imperfect_Samples
2,0.0,0.96943359375,"[(3, 0.8974609375), (4, 0.958984375), (5, 0.9794921875), (7, 0.9951171875), (8, 0.9609375), (9, 0.919921875), (10, 0.98828125), (11, 0.994140625)]"
2,0.25,0.9669921875,"[(3, 0.8896484375), (4, 0.9384765625), (5, 0.9814453125), (7, 0.9951171875), (8, 0.9609375), (9, 0.921875), (10, 0.98828125), (11, 0.994140625)]"
2,0.5,0.961328125,"[(3, 0.8603515625), (4, 0.9091796875), (5, 0.978515625), (7, 0.9951171875), (8, 0.9619140625), (9, 0.92578125), (10, 0.98828125), (11, 0.994140625)]"
2,0.75,0.9548828125,"[(3, 0.837890625), (4, 0.8701171875), (5, 0.9775390625), (7, 0.994140625), (8, 0.9619140625), (9, 0.9248046875), (10, 0.98828125), (11, 0.994140625)]"
2,1.0,0.95458984375,"[(3, 0.83984375), (4, 0.84375), (5, 0.9833984375), (7, 0.9951171875), (8, 0.966796875), (9, 0.9345703125), (10, 0.98828125), (11, 0.994140625)]"
4,0.0,0.993359375,"[(3, 0.9853515625), (4, 0.982421875), (5, 0.9951171875), (7, 0.9951171875), (8, 0.9951171875), (9, 0.9912109375), (10, 0.9912109375), (11, 0.998046875)]"
4,0.25,0.9919921875,"[(3, 0.98046875), (4, 0.982421875), (5, 0.994140625), (7, 0.994140625), (8, 0.9951171875), (9, 0.9853515625), (10, 0.9912109375), (11, 0.9970703125)]"
4,0.5,0.990625,"[(3, 0.97265625), (4, 0.9765625), (5, 0.9931640625), (7, 0.994140625), (8, 0.9951171875), (9, 0.986328125), (10, 0.9912109375), (11, 0.9970703125)]"
4,0.75,0.9853515625,"[(3, 0.953125), (4, 0.9560546875), (5, 0.9931640625), (7, 0.994140625), (8, 0.990234375), (9, 0.9775390625), (10, 0.994140625), (11, 0.9951171875)]"
4,1.0,0.97861328125,"[(3, 0.9091796875), (4, 0.9384765625), (5, 0.98828125), (7, 0.9951171875), (8, 0.994140625), (9, 0.974609375), (10, 0.9921875), (11, 0.994140625)]"
6,0.0,0.99619140625,"[(3, 0.990234375), (4, 0.98828125), (5, 0.9951171875), (7, 0.998046875), (8, 0.9990234375), (9, 0.994140625), (10, 0.998046875), (11, 0.9990234375)]"
6,0.25,0.99482421875,"[(3, 0.986328125), (4, 0.9794921875), (5, 0.994140625), (7, 0.998046875), (8, 0.9990234375), (9, 0.994140625), (10, 0.998046875), (11, 0.9990234375)]"
6,0.5,0.993359375,"[(3, 0.9814453125), (4, 0.97265625), (5, 0.9921875), (7, 0.998046875), (8, 0.998046875), (9, 0.9951171875), (10, 0.9990234375), (11, 0.9970703125)]"
6,0.75,0.9908203125,"[(3, 0.970703125), (4, 0.962890625), (5, 0.9873046875), (7, 0.998046875), (8, 0.9990234375), (9, 0.99609375), (10, 0.99609375), (11, 0.998046875)]"
6,1.0,0.9873046875,"[(3, 0.9560546875), (4, 0.9599609375), (5, 0.98828125), (7, 0.99609375), (8, 0.998046875), (9, 0.978515625), (10, 0.9970703125), (11, 0.9990234375)]"
8,0.0,0.99560546875,"[(3, 0.9873046875), (4, 0.9912109375), (5, 0.9892578125), (9, 0.9892578125), (10, 0.9990234375)]"
8,0.25,0.99501953125,"[(3, 0.9873046875), (4, 0.984375), (5, 0.990234375), (9, 0.9892578125), (10, 0.9990234375)]"
8,0.5,0.9935546875,"[(3, 0.9833984375), (4, 0.974609375), (5, 0.9912109375), (8, 0.9990234375), (9, 0.9892578125), (10, 0.998046875)]"
8,0.75,0.99189453125,"[(3, 0.9794921875), (4, 0.9619140625), (5, 0.9892578125), (9, 0.9892578125), (10, 0.9990234375)]"
8,1.0,0.9880859375,"[(3, 0.9619140625), (4, 0.9501953125), (5, 0.98828125), (9, 0.9853515625), (10, 0.99609375), (11, 0.9990234375)]"
10,0.0,0.99716796875,"[(3, 0.9921875), (4, 0.9931640625), (5, 0.9970703125), (7, 0.9990234375), (8, 0.9990234375), (9, 0.9912109375)]"
10,0.25,0.99775390625,"[(3, 0.9951171875), (4, 0.9931640625), (5, 0.9970703125), (7, 0.9990234375), (8, 0.9990234375), (9, 0.994140625)]"
10,0.5,0.9970703125,"[(3, 0.994140625), (4, 0.98828125), (5, 0.998046875), (7, 0.9990234375), (8, 0.9990234375), (9, 0.9921875)]"
10,0.75,0.99443359375,"[(3, 0.974609375), (4, 0.9833984375), (5, 0.9990234375), (7, 0.998046875), (8, 0.9990234375), (9, 0.9912109375), (10, 0.9990234375)]"
10,1.0,0.99462890625,"[(3, 0.9794921875), (4, 0.984375), (5, 0.9951171875), (7, 0.9990234375), (8, 0.9990234375), (9, 0.9892578125)]"
12,0.0,0.9998046875,"[(3, 0.9990234375), (5, 0.9990234375)]"
12,0.25,0.99990234375,"[(3, 0.9990234375)]"
12,0.5,0.99951171875,"[(3, 0.9970703125), (5, 0.9990234375), (10, 0.9990234375)]"
12,0.75,0.9974609375,"[(3, 0.978515625), (4, 0.9970703125), (5, 0.9990234375)]"
12,1.0,0.99755859375,"[(3, 0.98046875), (4, 0.99609375), (11, 0.9990234375)]"
14,0.0,0.9994140625,"[(3, 0.9990234375), (5, 0.9951171875)]"
14,0.25,0.99921875,"[(3, 0.9990234375), (5, 0.9931640625)]"
14,0.5,0.99853515625,"[(3, 0.9990234375), (4, 0.994140625), (5, 0.9921875)]"
14,0.75,0.99716796875,"[(3, 0.9892578125), (4, 0.98828125), (5, 0.9951171875), (10, 0.9990234375)]"
14,1.0,0.996484375,"[(3, 0.994140625), (4, 0.978515625), (5, 0.994140625), (10, 0.998046875)]"
16,0.0,1.0,[]
16,0.25,1.0,[]
16,0.5,0.9998046875,"[(4, 0.998046875)]"
16,0.75,0.99990234375,"[(11, 0.9990234375)]"
16,1.0,0.99931640625,"[(3, 0.9990234375), (4, 0.9951171875), (9, 0.9990234375)]"
18,0.0,0.99990234375,"[(11, 0.9990234375)]"
18,0.25,0.99990234375,"[(11, 0.9990234375)]"
18,0.5,0.99990234375,"[(11, 0.9990234375)]"
18,0.75,0.99990234375,"[(11, 0.9990234375)]"
18,1.0,0.9994140625,"[(3, 0.9990234375), (6, 0.9990234375), (10, 0.9990234375), (11, 0.9970703125)]"
20,0.0,1.0,[]
20,0.25,1.0,[]
20,0.5,1.0,[]
20,0.75,0.99951171875,"[(8, 0.9970703125), (10, 0.998046875)]"
20,1.0,0.9994140625,"[(3, 0.998046875), (9, 0.99609375)]"
22,0.0,1.0,[]
22,0.25,1.0,[]
22,0.5,1.0,[]
22,0.75,0.9998046875,"[(5, 0.9990234375), (11, 0.9990234375)]"
22,1.0,0.99970703125,"[(2, 0.998046875), (5, 0.9990234375)]"
24,0.0,1.0,[]
24,0.25,1.0,[]
24,0.5,1.0,[]
24,0.75,0.99990234375,"[(3, 0.9990234375)]"
24,1.0,0.99970703125,"[(10, 0.9990234375), (11, 0.998046875)]"
26,0.0,1.0,[]
26,0.25,1.0,[]
26,0.5,0.99970703125,"[(4, 0.998046875), (5, 0.9990234375)]"
26,0.75,0.99951171875,"[(4, 0.99609375), (5, 0.9990234375)]"
26,1.0,0.999609375,"[(4, 0.9990234375), (5, 0.998046875), (9, 0.9990234375)]"
28,0.0,1.0,[]
28,0.25,1.0,[]
28,0.5,1.0,[]
28,0.75,1.0,[]
28,1.0,1.0,[]
30,0.0,1.0,[]
30,0.25,0.99990234375,"[(3, 0.9990234375)]"
30,0.5,0.99990234375,"[(3, 0.9990234375)]"
30,0.75,1.0,[]
30,1.0,0.99921875,"[(3, 0.99609375), (5, 0.998046875), (10, 0.998046875)]"
32,0.0,1.0,[]
32,0.25,1.0,[]
32,0.5,1.0,[]
32,0.75,1.0,[]
32,1.0,1.0,[]
34,0.0,1.0,[]
34,0.25,1.0,[]
34,0.5,0.99990234375,"[(5, 0.9990234375)]"
34,0.75,0.99990234375,"[(5, 0.9990234375)]"
34,1.0,0.99970703125,"[(5, 0.998046875), (9, 0.9990234375)]"
36,0.0,1.0,[]
36,0.25,0.99990234375,"[(5, 0.9990234375)]"
36,0.5,1.0,[]
36,0.75,0.99990234375,"[(5, 0.9990234375)]"
36,1.0,1.0,[]
38,0.0,1.0,[]
38,0.25,1.0,[]
38,0.5,1.0,[]
38,0.75,1.0,[]
38,1.0,1.0,[]
40,0.0,0.9998046875,"[(4, 0.9990234375), (10, 0.9990234375)]"
40,0.25,0.9998046875,"[(4, 0.9990234375), (10, 0.9990234375)]"
40,0.5,0.9998046875,"[(4, 0.9990234375), (10, 0.9990234375)]"
40,0.75,0.9998046875,"[(4, 0.9990234375), (10, 0.9990234375)]"
40,1.0,0.999609375,"[(4, 0.9990234375), (10, 0.9990234375), (11, 0.998046875)]"
42,0.0,1.0,[]
42,0.25,1.0,[]
42,0.5,1.0,[]
42,0.75,1.0,[]
42,1.0,1.0,[]
44,0.0,1.0,[]
44,0.25,1.0,[]
44,0.5,1.0,[]
44,0.75,1.0,[]
44,1.0,1.0,[]
46,0.0,1.0,[]
46,0.25,1.0,[]
46,0.5,1.0,[]
46,0.75,1.0,[]
46,1.0,0.99990234375,"[(10, 0.9990234375)]"
48,0.0,1.0,[]
48,0.25,1.0,[]
48,0.5,1.0,[]
48,0.75,1.0,[]
48,1.0,0.99990234375,"[(10, 0.9990234375)]"
